uri,doc,type,target
https://twitter.com/twitter/status/1064589802211868674,"Maakt me niet uit of je voor over tegen pieten met een roetzwarte smoel bent. Je mag van mij doen en je kinderen vertellen wat je wilt. Maar als volwassenen onder elkaar: als van zwarte midwinterduivels negers maken niet racistisch is, wat dan wel? Lul niet dom over schoorstenen.",1. inappropriate,
https://www.youtube.com/watch?v=BNu2jysOdZM,"Dus we weten eigenlijk nog steeds niets,
Tenminste, niet iets waar we echt wat aan hebben.🐥",0. appropriate,
https://archive.4plebs.org/pol/thread/263746109/#263769618,"kek, geen zorgen. ook wij hebben een stinkhekel aan joden.",2. offensive,4. antisemitism
https://www.youtube.com/watch?v=PgrWChCzV9I,"Wat haalt het allemaal uit dat procederen, er is GEEN rechtstaat meer, er is geen echte rechter meer, dit is al decennia lang voorbereid om de juiste mensen op de hoogste posities te krijgen. WERELDWIJD, dit zijn “mensen” met nazigedachtegoed, die alleen maar de mensheid grotendeels uit willen roeien, je kinderen roven en van de overgebleven mensen slaven maken. Die zijn gewoon hun experiment, en iedereen die niet bruikbaar is of niet luistert wordt vermoord. WE MOETEN ECHT OPSTAAN, en stoppen met liefde en geduld. Kikker in de kookpot, SPRING UIT DIE KOOKPOT OF JE WORDT GEWOON MEEGEKOOKT, DIT IS GEEN REGERING, DIT ZIJN nazi's.",2. offensive,8. ideology
https://www.youtube.com/watch?v=HKnV4E178rQ,"-*-*-*- vd Meer Ik zeg toch, de aarde is ook plat?!",0. appropriate,
https://twitter.com/twitter/status/1235468795289817088,"Sociale media is een bitch. 
-*-*-*- ten toon gesteld als een gore vuile Leugenaars.
In november vorig jaar nog tegen stemmen en nu de hoogst verontwaardigde partij uithangen.
Hoe geloofwaardig ben je dan nog? -*-*-*-",2. offensive,10. politics
https://www.youtube.com/watch?v=pa0dOmycbR8,"-*-*-*- Dystopie
Ik hoop toch echt dat dit een slechte grap is.",0. appropriate,
https://www.youtube.com/watch?v=l0JGiXACo3Y,please doe meer zulke covers!!!,0. appropriate,
https://twitter.com/twitter/status/1253981118904270849,"Er zijn dus mensen die zeggen dat -*-*-*- overdrijft en dat het racisme in Nederland best meevalt. En die ‘s Gravendeelers zullen ws tegelijkertijd vinden dat #ZwartePiet zwart moet blijven, want ook dat zijn ze “zo gewend”. Achterlijk kutvolk. -*-*-*-",2. offensive,12. other
https://archive.4plebs.org/pol/thread/174003877/#174032202,"flikker op kanker mogooltje. we hebben hier in nederland een uitspraak voor 'nette meisjes': hoe langer de rok, hoe natter de sok. hoe strenger je bent voor ze, hoe erger ze zijn.",2. offensive,7. sexism
https://twitter.com/2deKamerFVD/status/1295822437247078401,Mooi hè dat totalitaire communisme -*-*-*- …,2. offensive,8. ideology
https://twitter.com/twitter/status/1276194576257232896,"Genee: ik heb geen idee waar het mis is gegaan  via -*-*-*- -*-*-*- 

Wat een #hypocriete #huichelaar is die #matennaaier van een #wilfredgenee. Bah.
Je ziet aan zijn kop al dat #wilfredgenee op plaats 1,2 en 3 komt. Ik hoef hem nooit meer te zien of horen!",2. offensive,11. individual
https://www.geenstijl.nl//5152702/dikke-vrouw-over-golf-dikke-coronapatienten-op-ic-riekt-naar-dikke-mensen-in-het-hoekje-zetten/,"Heel veel sterkte haatsmurfin. Probeer goed voor jezelf te zorgen, ook dit gaat ooit weer voorbij. Beweeg zoveel mogelijk en zorg voor zo gezond mogelijke voeding. Houd je conditie op peil voor als je straks wel aan de beurt bent dan herstel je sneller. Wees lief voor jezelf.",0. appropriate,
https://www.youtube.com/watch?v=fLZ_0jcbEtQ,Ik heb gisteren nog Corona gedronken! Voel me prima! 👍🏽,0. appropriate,
https://twitter.com/twitter/status/1272179811344097281,Echt hoe kan die tyfus hashtag van #AllLivesMatter weer populair geworden zijn? Zuig allemaal even lekker dick en ga weer je fetish filmpjes van Wilders en Trump kijken maar hou veder je smoel aub.,2. offensive,8. ideology
https://twitter.com/twitter/status/1010946453211172865,"Termen als ""Untermensch"", ""verkrachters"" etc geven ook aan dat je een racist en nazi bent, Jack. Maar ja, je vader Willem Koster was een NSB'er. De rotte appel valt niet ver van de boom -*-*-*-",2. offensive,11. individual
https://www.youtube.com/watch?v=fLZ_0jcbEtQ,"Informeer uzelf! U zult beter begrijpen wat er aan de hand is in Nederland en Europa als u uzelf informeert over America. Alles is verbonden met Deep States (o.a. Bilderberg) wereldwijd. Ontdek wat en wie de Deep States zijn en waarom zij een communistische wereld willen. Slechts enkele zeer goede kanalen:
X22 Report: -*-*-*-
The New American: -*-*-*-
Greg Hunter:  -*-*-*-
Artikel 7: -*-*-*-",2. offensive,8. ideology
https://archive.4plebs.org/pol/thread/236410134/#236427391,Kijk een keer naar die kankervlag jonge vieze mongool... Moet ik er echt /s achter zetten? Kanker reditor,2. offensive,11. individual
https://twitter.com/twitter/status/1270075296369139712,"-*-*-*- Wij autochtonen moeten in gesprek met import-volk, dat niet wil integreren. En dat na honderden jaren van multicul in NL, die zich altijd aangepast hebben. Onderhand meer dan 40 jaar gewerkt om de Staat te onderhouden. Kansen genoeg voor dat werkschuw tuig.",2. offensive,2. migrants
https://www.youtube.com/watch?v=Kpe35dER5zQ,OMG DIT LIED IS FK SICK,0. appropriate,
https://www.youtube.com/watch?v=Kpe35dER5zQ,Echt een geniaal nummer,0. appropriate,
https://twitter.com/twitter/status/1229119342916272128,"VAN HARTE GEFELICITEERD #RIVM, MET JULLIE DEBIELEN, GESTOORDEN ZELFMOORD BELEID, ZOEK HET VIRUS STEL ACHTERLIJKE KLOOTZAKKEN, IS HET VEILIG, JA HOOR GEEN PROBLEEM, EITJE NIKS AAN DE HAND, ALLEEN IN CHINA, YEP STEL RANDDEBIELEN, SCHOP DIE GASTEN DE WAAL/MAAS/NOORDZEE IN 🐀",2. offensive,12. other
https://archive.4plebs.org/pol/thread/162766231/#162775096,"Ik ben serious kill, w8 maar todat je het zelfde probleem krijght met syrische vluctheling like the mocros and turks",2. offensive,2. migrants
https://twitter.com/twitter/status/1274494091540209664,"-*-*-*- UFC begint weer Alexander ken je dat ?
Geweldig man 2 negers die elkaar helemaal de tering beuken 
Mooier beeld is er toch niet voor een neo zoals ik 
Wat een kut naam heb je eigelijk jou vader of moeder ook een mof  je lijkt wel een half half gevalletje beetje joods zal ook wel",2. offensive,1. racism
https://archive.4plebs.org/pol/thread/55706727/#55714768,Die stad is een groot dorp en das een sosse bastion blijkbaar. Die haar moeder is leerkracht en haar studenten (Turken) lachte haar uit da de vluchtelingen nu doen wa het otomaans rijk nooitheeft kunnen doen (EU inpalmen). Ze kreeg naar haar voeten omdat ze klaagde dat ze niks mocht terugzeggen tegen de directie.,1. inappropriate,
https://www.youtube.com/watch?v=BNu2jysOdZM,"hier kan je de sterfte cijfers per week tot nu toe zien bij CBS -*-*-*- wat je daar ziet is dat 2018 een erg jaar was door zeer hevige griep epidemie vergeleken met de jaren er voor maar nog niks vergeleken met 2020 en dat met alle maatregelen die er zijn genomen om te voorkomen dat nog meer mensen ziek werden.
de sterfte zonder lockdown veel hoger geweest. Volgens een recente analyse van Imperial College Londen hebben de maatregelen in West-Europa alleen al zo’n 3,1 miljoen sterfgevallen voorkomen. Losjes omgerekend zitten daarbij ook zo’n 175 duizend dertigers, veertigers en vijftigers – een gemeente zo groot als Nijmegen, die dankzij de coronamaatregelen een verstikkingsdood bespaard is gebleven.

omdat bij veel van de demonstraties wel de afstand gehouden werd behalven die in amsterdam.
daar droegen meesten wel mondkapje wat ook geholpen kan hebben.
en het was buiten wat ook een voordeel geweest kan zijn",0. appropriate,
https://www.youtube.com/watch?v=owEgOHfUwrM,"Iedereen haat Trump, omdat iedereen Trump haat. Dit is een typisch geval van: de 1 springt in de sloot en de anderen volgen. 
Het is de media die Trump in het verkeerde daglicht zet, waardoor wij hem massaal haten. Als de media Hillary als pispaal had verkozen, hadden we nu massaal Hillary gehaat!",2. offensive,9. media
https://www.youtube.com/watch?v=Kpe35dER5zQ,Kalvijn mooi gemaakt! - www.songland.nl,0. appropriate,
https://www.youtube.com/watch?v=HKnV4E178rQ,-*-*-*- Haciendos a hahahaha je refereert naar virus waanzin 😂😂😂,0. appropriate,
https://twitter.com/twitter/status/159,"Die tegenstanders van Zwarte Piet zijn volhardend , uitzichtloos stom, ze snappen nog steeds na al die tijd niet, dat het niets met racisme heeft te maken.",2. offensive,8. ideology
https://www.youtube.com/watch?v=qqHOC0CMo_M,Wat dacht je van vereenvoudigen i.p.v 25 regio's naar 12 elker provincie 1. Centraliseer het meer en houd het overzicht.,0. appropriate,
https://www.youtube.com/watch?v=J3uFAScIlLY,Tja wat een ramp allemaal besmettingen en de ziekenhuizen leeg .,0. appropriate,
https://archive.4plebs.org/pol/thread/55717645/#55723030,Varkenshoofden voor moskeeën gaan dumpen    Of gewoon wat lullen en eens de verlossing voelen van gelijkgestemden ipv omringd te zijn door politiek correcte naivelingen en landverraders,3. violent,3. islamophobia
https://www.youtube.com/watch?v=pa0dOmycbR8,"Heb je wel geluisterd? Oh nee, natuurlijk niet, je kwam hier alleen maar om jezus propaganda te spuien. xD",0. appropriate,
https://www.youtube.com/watch?v=nxWvmtPh2dE,Klopt voor 80% van de bevolking. We zijn een slimme minderheid. Of toch misschien andersom?,0. appropriate,
https://www.youtube.com/watch?v=pa0dOmycbR8,"Zou het achterwege blijven van de ziekenhuis opnamen liggen aan de verhoogde weerstand die aan het einde van de zomer is opgebouwd in tegenstelling tot de lage weerstand die we in maart hadden?
Dan zou dit een mooie tijd zijn om voor groepsimmuniteit te gaan.
Op het zuidelijk halfrond is het nu het einde van de winter.",0. appropriate,
https://www.youtube.com/watch?v=yA2XPxzJxM4,"Fantastic Interview! Yes, indeed with English subtitles.",0. appropriate,
https://www.youtube.com/watch?v=HKnV4E178rQ,-*-*-*- Waar komen al die doden dan vandaan? Oh wacht jij denkt waarschijnlijk dat het fake news van Bill gates is ofzo.,0. appropriate,
https://archive.4plebs.org/pol/thread/101669575/#101676959,blanke vrouwen,2. offensive,7. sexism
https://archive.4plebs.org/pol/thread/98793408/#98802185,We hebben al genoeg elitaire mongolen in Den Haag die het volk verafschuwt. Mensen genoeg die alleen een fuck om derest geven als ze stemmen nodig hebben.,2. offensive,10. politics
https://twitter.com/twitter/status/62,Alleen zwarte piet en anders niet,0. appropriate,
https://legacy.dumpert.nl/mediabase/7751877/ea4f5dc3/biebmeisje_wil_ook_meedoen.html?thema=Fapvoer,Mooie generale repetietie,0. appropriate,
https://www.youtube.com/watch?v=HKnV4E178rQ,Doe het niet 98% weet niet eens dat ze het al hebben gehad,0. appropriate,
https://www.youtube.com/watch?v=wB4PK-Lbal8,RYPKE ZEILMAKER. Goed bezig Frans! Gelukkig ben jij een integere BN'er met ballen en een eigen mening. Hulde!,0. appropriate,
https://www.youtube.com/watch?v=Kpe35dER5zQ,Paprika’s zijn legendarisch,0. appropriate,
https://archive.4plebs.org/pol/thread/137047432/#137065817,heb geen moslims,0. appropriate,
https://www.youtube.com/watch?v=qqHOC0CMo_M,Stel koffie drinkende burocraten  ambtenaren allemaal ontslaan.,2. offensive,11. individual
https://www.youtube.com/watch?v=QFW9mJnHkcI,GEEN WOORDEN MAAR DADEN.,0. appropriate,
https://twitter.com/schaffi73/status/328595398270803971,-*-*-*- nu wordt ge echt ene ouwe vrijster haha,0. appropriate,
https://www.youtube.com/watch?v=RU7FdMD5tmg,"Super graag nog een keertje samen !, ik vond het echt heel leuk",0. appropriate,
https://www.youtube.com/watch?v=wmp_9cVoHfg,"Eindelijk breekt Trump met de WHO en ""slams"" China voor het Wuhan Virus
-*-*-*-",0. appropriate,
https://twitter.com/mevrouwke/status/998162761103413248,"Stokbrood in stukjes, drenken in olijfolie met knoflook en kruiden en dan even krokant bakken!!! Eenvoudig maar heerlijkkk!!",0. appropriate,
